"contcod","country","year","region","Dexpend","whole","group","Dinc","pop"
"AGO",6,1998,1,1,1,1,45.0231552124023,1.24000000953674
"AGO",6,1998,1,1,1,2,74.135871887207,1.24000000953674
"AGO",6,1998,1,1,1,3,96.2243041992188,1.24000000953674
"AGO",6,1998,1,1,1,4,116.112358093262,1.24000000953674
"AGO",6,1998,1,1,1,5,138.793182373047,1.24000000953674
"AGO",6,1998,1,1,1,6,168.498321533203,1.24000000953674
"AGO",6,1998,1,1,1,7,202.519592285156,1.24000000953674
"AGO",6,1998,1,1,1,8,249.489227294922,1.24000000953674
"AGO",6,1998,1,1,1,9,336.319610595703,1.24000000953674
"AGO",6,1998,1,1,1,10,652.581909179688,1.24000000953674
"AGO",6,2005,1,1,1,1,2378.26513671875,0.805000007152557
"AGO",6,2005,1,1,1,2,4695.80126953125,0.805000007152557
"AGO",6,2005,1,1,1,3,6907.9619140625,0.805000007152557
"AGO",6,2005,1,1,1,4,8943.671875,0.805000007152557
"AGO",6,2005,1,1,1,5,10962.8427734375,0.805000007152557
"AGO",6,2005,1,1,1,6,13231.11328125,0.805000007152557
"AGO",6,2005,1,1,1,7,16037.935546875,0.805000007152557
"AGO",6,2005,1,1,1,8,19359.25,0.805000007152557
"AGO",6,2005,1,1,1,9,22078.466796875,0.805000007152557
"AGO",6,2005,1,1,1,10,26262.392578125,0.805000007152557
"AGO",6,2005,1,1,1,11,31471.373046875,0.805000007152557
"AGO",6,2005,1,1,1,12,36441.7578125,0.805000007152557
"AGO",6,2005,1,1,1,13,42371.79296875,0.805000007152557
"AGO",6,2005,1,1,1,14,49054.65234375,0.805000007152557
"AGO",6,2005,1,1,1,15,56785.578125,0.805000007152557
"AGO",6,2005,1,1,1,16,67029.1171875,0.805000007152557
"AGO",6,2005,1,1,1,17,81213.84375,0.805000007152557
"AGO",6,2005,1,1,1,18,102307.1953125,0.805000007152557
"AGO",6,2005,1,1,1,19,139715.234375,0.805000007152557
"AGO",6,2005,1,1,1,20,345262.15625,0.805000007152557
"ALB",2,1993,4,1,1,1,10832,0.372999995946884
"ALB",2,1993,4,1,1,2,14782,0.372999995946884
"ALB",2,1993,4,1,1,3,17694,0.372999995946884
"ALB",2,1993,4,1,1,4,20515,0.372999995946884
"ALB",2,1993,4,1,1,5,23694,0.372999995946884
"ALB",2,1993,4,1,1,6,26790,0.372999995946884
"ALB",2,1993,4,1,1,7,31090,0.372999995946884
"ALB",2,1993,4,1,1,8,36876,0.372999995946884
"ALB",2,1993,4,1,1,9,44446,0.372999995946884
"ALB",2,1993,4,1,1,10,66585,0.372999995946884
"ALB",2,1998,4,1,1,1,33186.21484375,0.379000008106232
"ALB",2,1998,4,1,1,2,45819.33984375,0.379000008106232
"ALB",2,1998,4,1,1,3,54316.3203125,0.379000008106232
"ALB",2,1998,4,1,1,4,62537.5546875,0.379000008106232
"ALB",2,1998,4,1,1,5,70728.1484375,0.379000008106232
"ALB",2,1998,4,1,1,6,79301.7265625,0.379000008106232
"ALB",2,1998,4,1,1,7,91112.7265625,0.379000008106232
"ALB",2,1998,4,1,1,8,107090.515625,0.379000008106232
"ALB",2,1998,4,1,1,9,129961.890625,0.379000008106232
"ALB",2,1998,4,1,1,10,195032.1875,0.379000008106232
"ALB",2,2002,4,1,1,1,30725,0.159999996423721
"ALB",2,2002,4,1,1,2,39568,0.159999996423721
"ALB",2,2002,4,1,1,3,44954,0.159999996423721
"ALB",2,2002,4,1,1,4,49598,0.159999996423721
"ALB",2,2002,4,1,1,5,54015,0.159999996423721
"ALB",2,2002,4,1,1,6,58718,0.159999996423721
"ALB",2,2002,4,1,1,7,63203,0.159999996423721
"ALB",2,2002,4,1,1,8,67296,0.159999996423721
"ALB",2,2002,4,1,1,9,71787,0.159999996423721
"ALB",2,2002,4,1,1,10,75944,0.159999996423721
"ALB",2,2002,4,1,1,11,81028,0.159999996423721
"ALB",2,2002,4,1,1,12,87460,0.159999996423721
"ALB",2,2002,4,1,1,13,94243,0.159999996423721
"ALB",2,2002,4,1,1,14,102170,0.159999996423721
"ALB",2,2002,4,1,1,15,111190,0.159999996423721
"ALB",2,2002,4,1,1,16,120692,0.159999996423721
"ALB",2,2002,4,1,1,17,134580,0.159999996423721
"ALB",2,2002,4,1,1,18,153946,0.159999996423721
"ALB",2,2002,4,1,1,19,184989,0.159999996423721
"ALB",2,2002,4,1,1,20,284426,0.159999996423721
"ALB",2,2005,4,1,1,1,33578.02734375,0.157499998807907
"ALB",2,2005,4,1,1,2,45622.16015625,0.157499998807907
"ALB",2,2005,4,1,1,3,52724.24609375,0.157499998807907
"ALB",2,2005,4,1,1,4,59318.578125,0.157499998807907
"ALB",2,2005,4,1,1,5,65547.328125,0.157499998807907
"ALB",2,2005,4,1,1,6,71358.53125,0.157499998807907
"ALB",2,2005,4,1,1,7,76879.53125,0.157499998807907
