code,baseyear,lineupyear,survname,welfaretype,sample,vintage,geo_code,poor215_ln,poor365_ln,poor685_ln,prosgap2017,geo_code2_new
AGO,2018,2019,IDREA,CONS,Cabinda,Fall 2024,AGO_2015_GAUL1_401,0.1063,0.3526,0.6123,6.3882848,AGO_2015_ADM1_401
AGO,2018,2019,IDREA,CONS,Huambo,Fall 2024,AGO_2015_GAUL1_405,0.4626,0.6962,0.8853,14.24547,AGO_2015_ADM1_405
AGO,2018,2019,IDREA,CONS,Bie,Fall 2024,AGO_2015_GAUL1_400,0.4354,0.6335,0.845,12.790225,AGO_2015_ADM1_400
AGO,2018,2019,IDREA,CONS,Moxico,Fall 2024,AGO_2015_GAUL1_412,0.5005,0.7482,0.9042,14.510924,AGO_2015_ADM1_402
AGO,2018,2019,IDREA,CONS,Cuando Cubango,Fall 2024,AGO_2015_GAUL1_402,0.4517,0.6987,0.91,13.801402,AGO_2015_ADM1_413
AGO,2018,2019,IDREA,CONS,Namibe,Fall 2024,AGO_2015_GAUL1_413,0.2347,0.5533,0.8344,10.714906,AGO_2015_ADM1_413
AGO,2018,2019,IDREA,CONS,Huila,Fall 2024,AGO_2015_GAUL1_406,0.452,0.6607,0.8516,17.21967,AGO_2015_ADM1_404
AGO,2018,2019,IDREA,CONS,Cunene,Fall 2024,AGO_2015_GAUL1_404,0.5368,0.7793,0.9215,16.957172,AGO_2015_ADM1_404
AGO,2018,2019,IDREA,CONS,Lunda Sul,Fall 2024,AGO_2015_GAUL1_410,0.4306,0.6471,0.8693,14.879782,AGO_2015_ADM1_410
AGO,2018,2019,IDREA,CONS,Bengo,Fall 2024,AGO_2015_GAUL1_398,0.3441,0.5684,0.7413,10.120718,AGO_2015_ADM1_398
AGO,2018,2019,IDREA,CONS,Zaire,Fall 2024,AGO_2015_GAUL1_415,0.1542,0.3486,0.6658,6.8408061,AGO_2015_ADM1_415
AGO,2018,2019,IDREA,CONS,Uige,Fall 2024,AGO_2015_GAUL1_414,0.3876,0.6674,0.8873,12.253388,AGO_2015_ADM1_414
AGO,2018,2019,IDREA,CONS,Luanda,Fall 2024,AGO_2015_GAUL1_408,0.0754,0.2819,0.6324,5.7216841,AGO_2015_ADM1_408
AGO,2018,2019,IDREA,CONS,Kuanza Norte,Fall 2024,AGO_2015_GAUL1_407,0.387,0.6391,0.8698,11.806533,AGO_2015_ADM1_407
AGO,2018,2019,IDREA,CONS,Cuanza Sul,Fall 2024,AGO_2015_GAUL1_403,0.5147,0.7552,0.9306,16.423165,AGO_2015_ADM1_403
AGO,2018,2019,IDREA,CONS,Malanje,Fall 2024,AGO_2015_GAUL1_411,0.4542,0.6783,0.8895,14.272006,AGO_2015_ADM1_411
AGO,2018,2019,IDREA,CONS,Lunda Norte,Fall 2024,AGO_2015_GAUL1_409,0.2704,0.5201,0.7641,10.70091,AGO_2015_ADM1_409
AGO,2018,2019,IDREA,CONS,Benguela,Fall 2024,AGO_2015_GAUL1_399,0.3659,0.5698,0.7799,11.253176,AGO_2015_ADM1_399
ALB,2019,2019,HBS,CONS,Berat (AL031),Fall 2024,ALB_2021_NUTS3_AL031,0,0.0039,0.0888,2.2663483,ALB_2015_ADMx_3_1
ALB,2019,2019,HBS,CONS,Shkodër (AL015),Fall 2024,ALB_2021_NUTS3_AL015,0,0.0214,0.2324,2.7865896,ALB_2015_ADMx_3_10
ALB,2019,2019,HBS,CONS,Tiranë (AL022),Fall 2024,ALB_2021_NUTS3_AL022,0,0.0038,0.0761,2.0580305,ALB_2015_ADMx_3_11
ALB,2019,2019,HBS,CONS,Vlorë (AL035),Fall 2024,ALB_2021_NUTS3_AL035,0,0.0364,0.1995,2.7101635,ALB_2015_ADMx_3_12
ALB,2019,2019,HBS,CONS,Dibër (AL011),Fall 2024,ALB_2021_NUTS3_AL011,0,0.0184,0.2037,2.8721119,ALB_2015_ADMx_3_2
ALB,2019,2019,HBS,CONS,Durrës (AL012),Fall 2024,ALB_2021_NUTS3_AL012,0,0.0013,0.1535,2.4781147,ALB_2015_ADMx_3_3
ALB,2019,2019,HBS,CONS,Elbasan (AL021),Fall 2024,ALB_2021_NUTS3_AL021,0,0.0284,0.247,2.8584816,ALB_2015_ADMx_3_4
ALB,2019,2019,HBS,CONS,Fier (AL032),Fall 2024,ALB_2021_NUTS3_AL032,0,0.0116,0.1812,2.4793631,ALB_2015_ADMx_3_5
ALB,2019,2019,HBS,CONS,Gjirokastër (AL033),Fall 2024,ALB_2021_NUTS3_AL033,0,0.0036,0.1115,2.2245601,ALB_2015_ADMx_3_6
ALB,2019,2019,HBS,CONS,Korcë (AL034),Fall 2024,ALB_2021_NUTS3_AL034,0,0.0031,0.1302,2.2250191,ALB_2015_ADMx_3_7
ALB,2019,2019,HBS,CONS,Kukës (AL013),Fall 2024,ALB_2021_NUTS3_AL013,0,0.0119,0.2082,2.9101701,ALB_2015_ADMx_3_8
