code,year,survname,vintage,sample,geo_code,survey_coverage,welfaretype,rep_year,comparability,ref_year,dep_poor1,dep_educ_com,dep_educ_enr,dep_infra_elec,dep_infra_imps,dep_infra_impw2,mdpoor_i1
ALB,2014,HBS,Fall 2024,Berat,ALB_2021_NUTS3_AL031,N,CONS,2014,2,2014,0.0139901,0.0021203,,0,,,0.0161104
ALB,2014,HBS,Fall 2024,Shkodër,ALB_2021_NUTS3_AL015,N,CONS,2014,2,2014,0.0028376,0.0021548,,0.0038784,,,0.0080001
ALB,2014,HBS,Fall 2024,Tiranë,ALB_2021_NUTS3_AL022,N,CONS,2014,2,2014,0.0066082,0.0039967,,0,,,0.0106049
ALB,2014,HBS,Fall 2024,Vlorë,ALB_2021_NUTS3_AL035,N,CONS,2014,2,2014,0.0157649,0.0087259,,0,,,0.0244908
ALB,2014,HBS,Fall 2024,Dibër,ALB_2021_NUTS3_AL011,N,CONS,2014,2,2014,0,0.000015,,0,,,0.000015
ALB,2014,HBS,Fall 2024,Durrës,ALB_2021_NUTS3_AL012,N,CONS,2014,2,2014,0.0055596,0.0001941,,0,,,0.0057537
ALB,2014,HBS,Fall 2024,Elbasan,ALB_2021_NUTS3_AL021,N,CONS,2014,2,2014,0.0320295,0.0017116,,0,,,0.0337411
ALB,2014,HBS,Fall 2024,Fier,ALB_2021_NUTS3_AL032,N,CONS,2014,2,2014,0.0026265,0.0020835,,0,,,0.0047099
ALB,2014,HBS,Fall 2024,Gjirokastër,ALB_2021_NUTS3_AL033,N,CONS,2014,2,2014,0.0003334,0.0036122,,0,,,0.0039457
ALB,2014,HBS,Fall 2024,Korcë,ALB_2021_NUTS3_AL034,N,CONS,2014,2,2014,0.003568,0.0051685,,0,,,0.0087365
ALB,2014,HBS,Fall 2024,Kukës,ALB_2021_NUTS3_AL013,N,CONS,2014,2,2014,0.0769023,0,,0,,,0.0769023
ALB,2014,HBS,Fall 2024,Lezhë,ALB_2021_NUTS3_AL014,N,CONS,2014,2,2014,0.003741,0.0033575,,0.0003415,,,0.0074401
ALB,2015,HBS,Fall 2024,Berat,ALB_2021_NUTS3_AL031,N,CONS,2015,2,2015,0,0.0003705,,0,0.08329,0,0.0003705
ALB,2015,HBS,Fall 2024,Shkodër,ALB_2021_NUTS3_AL015,N,CONS,2015,2,2015,0.0069955,0.0004093,,0,0.0350337,0,0.0074048
ALB,2015,HBS,Fall 2024,Tiranë,ALB_2021_NUTS3_AL022,N,CONS,2015,2,2015,0.0001371,0.0017578,,0.0001371,0.0455225,0,0.0018949
ALB,2015,HBS,Fall 2024,Vlorë,ALB_2021_NUTS3_AL035,N,CONS,2015,2,2015,0,0.0015085,,0,0.034769,0,0.0015085
ALB,2015,HBS,Fall 2024,Dibër,ALB_2021_NUTS3_AL011,N,CONS,2015,2,2015,0.0025766,0.0000494,,0,0.0074727,0,0.002626
